Test_ID,Target_Barcode,Product_Name,Batch_No,Base_Price,Input_Tax,Cost_Price,Wholesale_Price,Retail_Price,MRP,Disc(%),Is_Free,Status,Scenario_Type,Expected_Result
TC-RC-01,8906014640011,Basmati Rice Premium,BATCH-2026-01,100.00,0%,100.00,110.00,120.00,130.00,7.69%,FALSE,ACTIVE,Standard_Valid_Hierarchy,SUCCESS
TC-RC-02,8901058852210,Kashmir Saffron,BATCH-2026-02,200.00,5%,210.00,230.00,260.00,280.00,7.14%,FALSE,ACTIVE,5_Percent_GST_Pricing,SUCCESS
TC-RC-03,8901764012015,Coconut Cooking Oil,BATCH-2026-03,140.00,5%,147.00,160.00,180.00,200.00,10.00%,FALSE,ACTIVE,Edible_Oil_Batch_Rate,SUCCESS
TC-RC-04,8902080005012,Sparkling Club Soda,BATCH-2026-04,20.00,28%,25.60,30.00,35.00,40.00,12.50%,FALSE,ACTIVE,28_Percent_GST_High_Tax,SUCCESS
TC-RC-05,8901030383120,Dairy Milk Silk,BATCH-2026-05,80.00,18%,94.40,110.00,135.00,150.00,10.00%,FALSE,ACTIVE,18_Percent_Confectionery,SUCCESS
TC-RC-06,8907000333011,Opalware Dinner Set,BATCH-2026-06,800.00,12%,896.00,1050.00,1200.00,1400.00,14.28%,FALSE,ACTIVE,High_Value_Crockery,SUCCESS
TC-RC-07,8908000111221,Farm Fresh Eggs,BATCH-2026-07,70.00,0%,70.00,78.00,85.00,85.00,0.00%,FALSE,ACTIVE,Zero_Discount_Retail_Equals_MRP,SUCCESS
TC-RC-08,8909990001114,Promo Steel Spoon,BATCH-PROMO-01,0.00,0%,0.00,0.00,0.00,0.00,0.00%,TRUE,ACTIVE,Free_Promo_Item,SUCCESS
TC-RC-09,8906014640011,Basmati Rice Premium,BATCH-OLD-99,95.00,0%,95.00,105.00,115.00,125.00,8.00%,FALSE,INACTIVE,Expired_Inactive_Batch,SUCCESS
TC-RC-10,8906014640011,Basmati Rice Premium,BATCH-2026-10,,0%,,,,,0.00%,FALSE,ACTIVE,Missing_Mandatory_Pricing,FAIL_VALIDATION
TC-RC-11,8906014640011,Basmati Rice Premium,BATCH-2026-11,100.00,0%,100.00,110.00,150.00,120.00,-25.0%,FALSE,ACTIVE,Retail_Exceeds_MRP,FAIL_VALIDATION
TC-RC-12,8906014640011,Basmati Rice Premium,BATCH-2026-12,150.00,0%,150.00,120.00,110.00,100.00,0.00%,FALSE,ACTIVE,Base_Exceeds_MRP,FAIL_VALIDATION
TC-RC-13,8906014640011,Basmati Rice Premium,BATCH-2026-13,100.00,0%,100.00,135.00,120.00,150.00,20.00%,FALSE,ACTIVE,Wholesale_Exceeds_Retail,FAIL_VALIDATION
TC-RC-14,8906014640011,Basmati Rice Premium,BATCH-2026-01,102.00,0%,102.00,112.00,122.00,132.00,7.57%,FALSE,ACTIVE,Duplicate_Batch_Same_SKU,FAIL_CONFLICT
