Sheet_No,Sheet_Name,Test_ID,Scenario_Name,Module_Tab,Key_Identifier,Input_Data_Details,Tax_or_Rate_Details,Quantity_or_Value,Priority,Expected_Result,Status
Sheet 10,Master_Store_Configuration,TC-CONF-01,Configure Warehouse Location (Telangana),Settings - Warehouse,Central Mega Warehouse,State: Telangana | PIN: 500001 | Contact: Ramesh Kumar | Phone: 9876543210 | Email: warehouse.hyd@airopos.com,GSTIN: 36AAACH7409R1ZZ | GST Enabled: TRUE,City: HYDERABAD | District: HYDERABAD,P0,Warehouse configured with valid Telangana GSTIN and PIN,ACTIVE
Sheet 10,Master_Store_Configuration,TC-CONF-02,Configure Branch Location (Telangana Intra-State),Settings - Branch,Kukatpally Retail Branch,State: Telangana | PIN: 500034 | Contact: Suresh Babu | Phone: 9876543211 | Email: branch.kukatpally@airopos.com,GSTIN: 36AAACH7409R1ZZ | GST Enabled: TRUE,City: HYDERABAD | District: MEDCHAL,P0,Branch configured in same state for intra-state stock transfer,ACTIVE
Sheet 10,Master_Store_Configuration,TC-CONF-03,Configure Franchise Location (Andhra Pradesh Inter-State),Settings - Franchise,Vijayawada Prime Franchise,State: Andhra Pradesh | PIN: 520001 | Contact: Venkat Rao | Phone: 9876543212 | Email: franchise.vja@airopos.com,GSTIN: 37AAAFV1234Q1Z5 | GST Enabled: TRUE,City: VIJAYAWADA | District: KRISHNA,P0,Franchise configured in Andhra Pradesh for inter-state commercial supply,ACTIVE
Sheet 10,Master_Store_Configuration,TC-CONF-04,Negative - GSTIN State Mismatch Validation,Settings - Warehouse,Invalid GSTIN Config,State: Telangana | PIN: 500001 | Contact: Test Admin | Phone: 9876543213,GSTIN: 37AAACH7409R1ZZ | GST Enabled: TRUE,City: HYDERABAD,P1,Validation blocks mismatch between GSTIN state code 37 and Telangana state,FAIL_VALIDATION
Sheet 11,Stock_Transfer_Order,TC-ST-01,Create Intra-State Stock Transfer Order,Inventory - Stock Transfer,STO-TS-001,From: Central Mega Warehouse | To: Kukatpally Retail Branch,Barcode: 890100000001 (Rice),Transfer Qty: 50 | Unit Price: 40.00,P0,Transfer order created between same GSTIN entities (36 == 36),ACTIVE
Sheet 11,Stock_Transfer_Order,TC-ST-02,Approve Transfer and Confirm Pickup Request,Inventory - Stock Transfer,STO-TS-001,Order: STO-TS-001 | Pickup Notes: Immediate Dispatch,Barcode: 890100000001,Can Fulfill: 50 | Shortfall: 0,P0,Pickup request confirmed and warehouse stock allocated,ACTIVE
Sheet 11,Stock_Transfer_Order,TC-ST-03,Enter Transport Details and Confirm Dispatch,Inventory - Stock Transfer,STO-TS-001,Transporter: SafeXpress Logistics | Vehicle: TS09AB1234 | Mode: Road,Document: Delivery Challan,Total Value: 2000.00 | Total Items: 50,P0,Outward stock dispatched and Delivery Challan generated,ACTIVE
Sheet 11,Stock_Transfer_Order,TC-ST-04,Generate and Verify E-Way Bill (Intra-State),Inventory - Stock Transfer,EWB-ST-3601,Source: 36AAACH7409R1ZZ (TS) | Dest: 36AAACH7409R1ZZ (TS),Vehicle: TS09AB1234 | Transporter: SafeXpress,EWB No: 121456789012 | Status: ACTIVE,P0,E-Way Bill verified with intra-state source & destination GSTIN,ACTIVE
Sheet 12,Franchise_Transfer_Order,TC-FT-01,Create Inter-State Franchise Transfer Order,Inventory - Franchise Transfer,FTO-AP-001,From: Central Mega Warehouse (TS) | To: Vijayawada Prime Franchise (AP),Barcode: 890100000001 (Rice),Transfer Qty: 100 | Basic Price: 40.00,P0,Inter-state franchise transfer order initialized,ACTIVE
Sheet 12,Franchise_Transfer_Order,TC-FT-02,Verify Inter-State Tax Calculation (IGST),Inventory - Franchise Transfer,FTO-AP-001,State Check: TS(36) != AP(37) | Supply Type: Inter-State,Tax Type: IGST | Tax Rate: 5%,Taxable Value: 4000.00 | IGST: 200.00 | Total: 4200.00,P0,IGST applied for inter-state supply instead of CGST and SGST,ACTIVE
