Sheet_No,Sheet_Name,Test_ID,Scenario_Name,Module_Tab,Key_Identifier,Input_Data_Details,Tax_or_Rate_Details,Quantity_or_Value,Priority,Expected_Result,Status
Sheet 1,SKU_Master,TC-SKU-01,Create Valid Weight SKU (kg),Master Data - SKU,8906014640011,Base: Basmati Rice Premium | Brand: Daawat | Variant: 5kg Pack,HSN: 10063020 | Tax: 0% | Cess: 0%,Stop Order: 5 | UOM: kg,P0,SKU created successfully with active barcode,ACTIVE
Sheet 1,SKU_Master,TC-SKU-02,Create Gram Weight SKU (g),Master Data - SKU,8901058852210,Base: Kashmir Saffron | Brand: Everest | Variant: 1g Blister,HSN: 09102010 | Tax: 5% | Cess: 0%,Stop Order: 20 | UOM: g,P1,SKU created with 5% GST mapping,ACTIVE
Sheet 1,SKU_Master,TC-SKU-03,Create Volume SKU (Litre),Master Data - SKU,8901764012015,Base: Coconut Cooking Oil | Brand: Parachute | Variant: 1 Litre Bottle,HSN: 15131900 | Tax: 5% | Cess: 0%,Stop Order: 10 | UOM: l,P1,SKU created with volume measurement,ACTIVE
Sheet 1,SKU_Master,TC-SKU-04,Create Beverage SKU with Cess,Master Data - SKU,8902080005012,Base: Sparkling Club Soda | Brand: Kinley | Variant: 300ml Can,HSN: 22011010 | Tax: 28% | Cess: 12%,Stop Order: 50 | UOM: ml,P0,SKU created with 28% GST + 12% Cess,ACTIVE
Sheet 1,SKU_Master,TC-SKU-05,Create Unit SKU (Pieces),Master Data - SKU,8901030383120,Base: Dairy Milk Silk | Brand: Cadbury | Variant: 150g Bar,HSN: 18063200 | Tax: 18% | Cess: 0%,Stop Order: 15 | UOM: pcs,P0,SKU created with 18% GST slab,ACTIVE
Sheet 1,SKU_Master,TC-SKU-06,Create Promo Free Item SKU,Master Data - SKU,8909990001114,Base: Promo Steel Spoon | Brand: AIroPOS Promo | Variant: Stainless,HSN: 82159900 | Tax: 0% | Cess: 0%,Stop Order: 0 | Is_Free_Item: TRUE,P1,Free promo item flag saved correctly,ACTIVE
Sheet 1,SKU_Master,TC-SKU-07,Negative - Duplicate Barcode Check,Master Data - SKU,8906014640011,Duplicate Rice Barcode entry,HSN: 10063020 | Tax: 0%,Stop Order: 5,P1,Validation blocks duplicate barcode,FAIL_CONFLICT
Sheet 1,SKU_Master,TC-SKU-08,Negative - Missing Base Product,Master Data - SKU,8901112223334,Base Product omitted | Brand: Generic,HSN: 10063020 | Tax: 0%,Stop Order: 5,P2,Form error: Base Product is required,FAIL_VALIDATION
Sheet 2,Base_Product,TC-BP-01,Create Food Grain Base Product,Master Data - Base Product,BP-001,Name: Basmati Rice | Category: Grocery | Sub: Food Grains,Standard Grain Classification,Type: Standard,P1,Base Product created & linkable to SKUs,ACTIVE
Sheet 2,Base_Product,TC-BP-02,Create Spices Base Product,Master Data - Base Product,BP-002,Name: Whole Spices & Saffron | Category: Grocery | Sub: Spices & Masalas,Spice Classification,Type: Standard,P1,Base Product created in Grocery,ACTIVE
Sheet 2,Base_Product,TC-BP-03,Create Cooking Oil Base Product,Master Data - Base Product,BP-003,Name: Edible Cooking Oils | Category: Grocery | Sub: Edible Oils,Oils & Fats Classification,Type: Standard,P1,Base Product created for liquids,ACTIVE
Sheet 2,Base_Product,TC-BP-04,Create Confectionery Base Product,Master Data - Base Product,BP-004,Name: Chocolates & Candies | Category: Snacks & Foods | Sub: Chocolates,Confectionery Classification,Type: Standard,P1,Base Product created under Snacks,ACTIVE
Sheet 2,Base_Product,TC-BP-05,Negative - Missing Category Link,Master Data - Base Product,BP-005,Name: Orphan Product | Category: [Empty],Unassigned Category,Type: Standard,P2,Validation blocks base product without category,FAIL_VALIDATION
Sheet 3,Category_SubCategory,TC-CAT-01,Create FMCG Grocery Category,Master Data - Category,CAT-01,Category: Grocery | Department: FMCG,Department: FMCG,Status: ACTIVE,P1,Grocery Category created,ACTIVE
Sheet 3,Category_SubCategory,TC-CAT-02,Create Food Grains Sub-Category,Master Data - Sub Category,SUB-01,SubCategory: Food Grains | Parent: Grocery,Department: FMCG,Status: ACTIVE,P1,Sub-Category mapped to Grocery,ACTIVE
Sheet 3,Category_SubCategory,TC-CAT-03,Create Spices Sub-Category,Master Data - Sub Category,SUB-02,SubCategory: Spices & Masalas | Parent: Grocery,Department: FMCG,Status: ACTIVE,P1,Sub-Category mapped to Grocery,ACTIVE
Sheet 3,Category_SubCategory,TC-CAT-04,Create Beverages Category,Master Data - Category,CAT-02,Category: Beverages | Department: Beverages,Department: Beverages,Status: ACTIVE,P1,Beverages Category created,ACTIVE
Sheet 3,Category_SubCategory,TC-CAT-05,Create Carbonated Drinks Sub,Master Data - Sub Category,SUB-04,SubCategory: Carbonated Drinks | Parent: Beverages,Department: Beverages,Status: ACTIVE,P1,Carbonated SubCategory linked to Beverages,ACTIVE
Sheet 4,Brand_Master,TC-BR-01,Create FMCG Food Brand,Master Data - Brand,BR-01,Brand: Daawat | Manufacturer: LT Foods Ltd | Origin: India,FMCG Grains,Status: ACTIVE,P1,Brand saved and available in SKU form,ACTIVE
Sheet 4,Brand_Master,TC-BR-02,Create Spices Brand,Master Data - Brand,BR-02,Brand: Everest | Manufacturer: Everest Spices Pvt Ltd | Origin: India,FMCG Spices,Status: ACTIVE,P1,Brand linked to spices manufacturer,ACTIVE
Sheet 4,Brand_Master,TC-BR-03,Create Confectionery Brand,Master Data - Brand,BR-03,Brand: Cadbury | Manufacturer: Mondelez India Foods | Origin: India,Confectionery,Status: ACTIVE,P1,Brand created with multinational manufacturer,ACTIVE
Sheet 4,Brand_Master,TC-BR-04,Create House Brand (AIroPOS),Master Data - Brand,BR-04,Brand: AIroPOS Promo | Manufacturer: InHouse Merchandise,Store House Brand,Status: ACTIVE,P2,House brand configured for promotional items,ACTIVE
Sheet 4,Brand_Master,TC-BR-05,Negative - Duplicate Brand Name,Master Data - Brand,BR-05,Brand: Daawat | Duplicate attempt,FMCG Grains,Status: ACTIVE,P2,System alerts duplicate brand name,FAIL_CONFLICT
Sheet 5,UOM_Variants,TC-UOM-01,Define Base Weight Unit (kg),Master Data - UOM,UOM-01,Code: kg | Name: Kilogram | Type: Weight | Base Unit: TRUE,Conversion: 1.0,Type: Weight,P1,Primary base unit for weights created,ACTIVE
Sheet 5,UOM_Variants,TC-UOM-02,Define Derived Weight Unit (g),Master Data - UOM,UOM-02,Code: g | Name: Gram | Type: Weight | Base Unit: FALSE,Conversion: 0.001 to kg,Type: Weight,P1,Gram conversion properly configured,ACTIVE
Sheet 5,UOM_Variants,TC-UOM-03,Define Base Volume Unit (l),Master Data - UOM,UOM-03,Code: l | Name: Litre | Type: Volume | Base Unit: TRUE,Conversion: 1.0,Type: Volume,P1,Primary base unit for volume created,ACTIVE
Sheet 5,UOM_Variants,TC-UOM-04,Define Piece Unit (pcs),Master Data - UOM,UOM-04,Code: pcs | Name: Pieces | Type: Quantity | Base Unit: TRUE,Conversion: 1.0,Type: Count,P1,Count unit configured for discrete items,ACTIVE
Sheet 5,UOM_Variants,TC-UOM-05,Define Pack Variants,Master Data - Variant,VAR-01,Variant: 5kg Pack | Attribute: Size/Weight | Value: 5kg,Packaging variant,Type: Packaging,P1,Variant selectable in SKU creation,ACTIVE
Sheet 6,Rate_Card_Pricing,TC-RC-01,Standard Margin Rate Card,Inventory - Rate Card,RC-001,SKU: 890100000001 (Rice) | Cost: 40.00 | Margin: 25%,Tax: 0% | Base Price: 40.00,MRP: 55.00 | Sale: 50.00,P0,Pricing hierarchy calculates sale price correctly,ACTIVE
Sheet 6,Rate_Card_Pricing,TC-RC-02,Multi-Slab Wholesale Rate Card,Inventory - Rate Card,RC-002,SKU: 890100000004 (Sugar) | Tier 1 (1-10): 42.00 | Tier 2 (11+): 39.00,Tax: 5% | Base: 36.00,MRP: 48.00 | Tier Pricing,P1,Tiered quantity volume pricing activates on threshold,ACTIVE
Sheet 6,Rate_Card_Pricing,TC-RC-03,High Margin Confectionery,Inventory - Rate Card,RC-003,SKU: 8901030383120 (Silk) | Cost: 120.00 | Margin: 25%,Tax: 18% | Base: 120.00,MRP: 175.00 | Sale: 150.00,P1,Output GST 18% applied on selling price,ACTIVE
Sheet 6,Rate_Card_Pricing,TC-RC-04,Promotional Discounted Rate Card,Inventory - Rate Card,RC-004,SKU: 8901764012015 (Oil) | Cost: 130.00 | Disc: 5%,Tax: 5% | Base: 130.00,MRP: 160.00 | Promo: 145.00,P1,Discount deductions reflect in final customer total,ACTIVE
Sheet 6,Rate_Card_Pricing,TC-RC-05,Negative - Cost Exceeds MRP,Inventory - Rate Card,RC-005,SKU: 890100000001 | Cost: 65.00 | MRP: 50.00,Tax: 0%,MRP: 50.00 | Cost: 65.00,P2,Validation blocks purchase cost greater than MRP,FAIL_VALIDATION
Sheet 7,Vendor_Management,TC-VM-01,Verify Vendor List Navigation,Vendor - Management,VEN-UI-01,Check Vendor List table headers action buttons and search bar,N/A,Controls Check,P1,Vendor table and Add Vendor button visible,ACTIVE
Sheet 7,Vendor_Management,TC-VM-02,Validate Mandatory Vendor Fields,Vendor - Management,VEN-VAL-01,Submit empty Add Vendor form,N/A,Empty Payload,P1,Field validations triggered for Company Name Phone Email,ACTIVE
Sheet 7,Vendor_Management,TC-VM-03,Create Regular Registered Vendor,Vendor - Management,VEN000016,Company: Balaji Traders | Name: Balaji Cidhb | Mobile: 9846054886,GST Type: Regular | GSTIN: 29ABCDE1234F1Z5,Credit Period: 30 Days,P0,Vendor created and searchable in paginated table,ACTIVE
Sheet 7,Vendor_Management,TC-VM-04,Create Composite Vendor,Vendor - Management,VEN000017,Company: Surya Distributors | Name: Surya K | Mobile: 9845011223,GST Type: Composite | GSTIN: 29AAAAA0000A1Z5,Credit Period: 15 Days,P1,Composite tax vendor successfully registered,ACTIVE
Sheet 7,Vendor_Management,TC-VM-05,Create Unregistered Vendor,Vendor - Management,VEN000018,Company: Local Agro Mill | Name: Ramesh Agro | Mobile: 9822003344,GST Type: Unregistered | GSTIN: [None],Credit Period: 7 Days,P1,Unregistered vendor created without mandatory GSTIN,ACTIVE
Sheet 7,Vendor_Management,TC-VM-06,Duplicate Mobile & Email Check,Vendor - Management,VEN-DUP-01,Submit vendor with existing phone 9846054886,N/A,Duplicate Phone Check,P2,System alerts duplicate mobile/email violation,FAIL_CONFLICT
Sheet 7,Vendor_Management,TC-VM-07,Cancel Vendor Form Navigation,Vendor - Management,VEN-CAN-01,Click Cancel on active Add Vendor form,N/A,Cancel Action,P2,Form dismissed returning cleanly to Vendor table,ACTIVE
Sheet 7,Vendor_Management,TC-VM-08,Vendor Table Search & Filtering,Vendor - Management,VEN-SRCH-01,Filter table using search input for 'Balaji',N/A,Filter Query: Balaji,P1,Table narrows to matching vendor records,ACTIVE
Sheet 8,Stock_Entry_Inward,TC-SE-01,Complete Inward Stock Lifecycle,Inventory - Stock Entry,INV-889101,Vendor: Balaji | Invoice: INV-889101 | E-Way: 123456789012,Barcode: 890100000001 (Rice),Inv Qty: 10 | Rec Qty: 10,P0,Submit modal confirmation & record COMPLETED in table,ACTIVE
Sheet 8,Stock_Entry_Inward,TC-SE-02,Inward with Free Scheme Quantity,Inventory - Stock Entry,INV-889102,Vendor: Balaji | Invoice: INV-889102 | E-Way: 123456789013,Barcode: 890100000004 (Sugar),Inv: 15 | Rec: 15 | Free: 2,P1,Free quantity recorded without charging cost,ACTIVE
Sheet 8,Stock_Entry_Inward,TC-SE-03,Inward Shortage & Damaged Returns,Inventory - Stock Entry,INV-889103,Vendor: Balaji | Invoice: INV-889103 | E-Way: 123456789014,Barcode: 890100000006 (Flour),Inv: 20 | Rec: 18 | Ret: 2 (Damaged),P1,Shortage reflected and debit return recorded,ACTIVE
Sheet 8,Stock_Entry_Inward,TC-SE-04,Validate Empty Stock Entry Form,Inventory - Stock Entry,INV-VAL-01,Click Save Changes on blank form without vendor or invoice,N/A,Blank Form Submission,P1,Validation toasts require Vendor Invoice and Branch,ACTIVE
Sheet 8,Stock_Entry_Inward,TC-SE-05,Verify Stock Entry Table & Actions,Inventory - Stock Entry,INV-UI-01,Check Stock Entry table Add New Entry and Invoice Scan buttons,N/A,UI Smoke Check,P1,All header buttons and historical entries displayed,ACTIVE
